PVC_Nr,Batch,Subject,Sow,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open,choco_eaten,Kong_score
1,2,16,775,1,0,47.392,15,0,2,0,0,109.004,35,222.578,16,158.43,38,294,0,80.586,7,0.435,66.69,123.5,8,47.703,12,80.346,8,32.3,9,0,92.173,97.466,8,83,0,10,2
1,2,16,775,2,0,NA,NA,12.26,0,0,0,69.012,24,211.744,10,200.941,24,77,0,140.684,11,2.846,10.947,118.348,11,39.748,12,46.386,10,15.5,4,0,39.135,184.46,10,53,0,10,2
10,2,5,751,1,4,18.79,6,0,0,7.997,2,76.514,26,251.198,7,185.433,29,113,0,34.589,6,27.824,6.174,229.226,6,0,0,0.501,1,11.25,3,11.668,32.918,236.58,1,85,0,0,0
10,2,5,751,2,6,29.994,6,0,0,0,0,81.004,26,239.994,7,188.944,27,41,0,60.291,7,17.716,24.366,185.33,7,0,0,6.951,4,3.746,1,12.964,14.713,248.329,4,22,0,0,0
11,2,7,592,1,6,24.149,8,0,1,0,0,118.302,31,245.835,9,151.133,32,283,0,11.75,5,6.411,27.759,230.482,5,0,0,0.151,1,20.401,5,0,154.387,115.461,1,171,0,0,0
11,2,7,592,2,6,2.499,1,0,0,0,0,38.395,13,267.499,2,231.579,14,64,0,15.647,5,7.345,79.046,175.298,5,0,0,4.402,2,7.499,2,0,168.287,97.308,2,89,0,0,0
12,2,8,592,1,1,54.94,14,0,0,0,0,111.766,30,215.032,15,155.173,31,41,0,98.494,5,80.217,26.965,144.532,5,94.134,18,119.444,13,6.75,1,50.621,50.628,99.903,13,5,0,0,0
12,2,8,592,2,3,73.449,16,3.501,0,0,0,65.38,19,196.519,17,204.584,18,8,0,175.255,3,22.84,39.885,54.855,3,41.604,14,67.284,10,3.551,1,140.799,28.85,173.847,10,1,0,10,2
13,2,11,775,1,2,33.536,10,0,0,0,0,141.62,42,236.445,10,128.298,42,136,0,91.981,7,2.395,5.898,172.109,6,92.114,23,87.584,21,0,0,29.591,28.688,153.687,21,27,0,10,2
13,2,11,775,2,3,73.785,15,2.554,0,0,0,135.185,36,196.185,16,134.744,36,35,0,167.58,9,0.944,0.944,101.459,9,42.644,11,58.489,8,0,0,24.637,23.887,187.609,8,9,0,10,2
14,2,2,747,1,5,27.755,6,0,0,0,0,80.04,24,242.233,7,189.912,25,97,0,7.497,1,6.268,9.02,253.482,1,90.608,22,59.14,9,0,0,5.679,24.88,185.963,9,28,0,10,2
14,2,2,747,2,7,38.936,9,0,0,0,0,67.591,15,231.047,9,202.379,16,45,0,60.192,7,10.829,1.325,208.47,7,35.497,14,78.955,11,0,0,104.756,12.652,178.372,11,49,0,10,2
15,2,14,747,1,1,87.522,19,0,0,0,0,141.471,39,182.44,20,128.451,40,141,0,119.2,6,40.227,1.279,149.51,6,57.244,21,76.947,15,0,0,32.858,40.406,152.618,15,9,0,0,0
